table_name,classification,column_name,japanese_name,description,data_type,max_length,code_values,remarks
JVD_YS,JRA-VAN,kaisai_tsukihi,開催月日,競走が行われた月日,character varying,4,MMDD形式 例:0526,
JRD_BAC,JRDB,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JRD_CYB,JRDB,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JRD_JOA,JRDB,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JRD_KYI,JRDB,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JRD_SED,JRDB,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_AV,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_CC,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_CK,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_CS,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_DM,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_H1,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_H6,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_HR,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_JC,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_JG,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_O1,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_O2,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_O3,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_O4,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_O5,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_O6,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_RA,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_RC,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_SE,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_TC,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_TK,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_TM,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_WE,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_WH,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JVD_YS,JRA-VAN,keibajo_code,競馬場コード,競馬場の識別コード,character varying,2,01:札幌 02:函館 03:福島 04:新潟 05:東京 06:中山 07:中京 08:京都 09:阪神 10:小倉,
JRD_BAC,JRDB,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,1,第N回,
JRD_CYB,JRDB,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,1,第N回,
JRD_JOA,JRDB,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,1,第N回,
JRD_KYI,JRDB,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,1,第N回,
JRD_SED,JRDB,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,1,第N回,
JVD_AV,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_CC,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_CK,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_DM,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_H1,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_H6,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_HR,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_JC,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_JG,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_O1,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_O2,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_O3,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_O4,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_O5,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_O6,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_RA,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_RC,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_SE,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_TC,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_TK,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_TM,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_WE,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_WH,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JVD_YS,JRA-VAN,kaisai_kai,開催回,同一競馬場での年内開催回数,character varying,2,第N回,
JRD_BAC,JRDB,kaisai_nichime,開催日目,開催何日目か,character varying,1,第N日,
JRD_CYB,JRDB,kaisai_nichime,開催日目,開催何日目か,character varying,1,第N日,
JRD_JOA,JRDB,kaisai_nichime,開催日目,開催何日目か,character varying,1,第N日,
JRD_KYI,JRDB,kaisai_nichime,開催日目,開催何日目か,character varying,1,第N日,
JRD_SED,JRDB,kaisai_nichime,開催日目,開催何日目か,character varying,1,第N日,
JVD_AV,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_CC,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_CK,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_DM,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_H1,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_H6,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_HR,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_JC,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_JG,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_O1,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_O2,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_O3,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_O4,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_O5,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_O6,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_RA,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_RC,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_SE,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_TC,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_TK,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_TM,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_WE,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_WH,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JVD_YS,JRA-VAN,kaisai_nichime,開催日目,開催何日目か,character varying,2,第N日,
JRD_BAC,JRDB,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JRD_CYB,JRDB,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JRD_JOA,JRDB,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JRD_KYI,JRDB,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JRD_SED,JRDB,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_AV,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_CC,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_CK,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_DM,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_H1,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_H6,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_HR,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_JC,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_JG,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_O1,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_O2,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_O3,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_O4,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_O5,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_O6,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_RA,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_RC,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_SE,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_TC,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_TK,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_TM,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JVD_WH,JRA-VAN,race_bango,レース番号,その日のレース番号,character varying,2,01〜12,
JRD_CYB,JRDB,umaban,馬番,出走馬の番号,character varying,2,01〜18,
JRD_JOA,JRDB,umaban,馬番,出走馬の番号,character varying,2,01〜18,
JRD_KYI,JRDB,umaban,馬番,出走馬の番号,character varying,2,01〜18,
JRD_SED,JRDB,umaban,馬番,出走馬の番号,character varying,2,01〜18,
JVD_AV,JRA-VAN,umaban,馬番,出走馬の番号,character varying,2,01〜18,
JVD_JC,JRA-VAN,umaban,馬番,出走馬の番号,character varying,2,01〜18,
JVD_SE,JRA-VAN,umaban,馬番,出走馬の番号,character varying,2,01〜18,
JRD_KYI,JRDB,wakuban,枠番,枠組番号,character varying,1,1〜8,
JVD_SE,JRA-VAN,wakuban,枠番,枠組番号,character varying,1,1〜8,
JRD_KYI,JRDB,seibetsu_code,性別コード,馬の性別,character varying,1,1:牡 2:牝 3:騸,
JVD_HN,JRA-VAN,seibetsu_code,性別コード,馬の性別,character varying,1,1:牡 2:牝 3:騸,
JVD_SE,JRA-VAN,seibetsu_code,性別コード,馬の性別,character varying,1,1:牡 2:牝 3:騸,
JVD_SK,JRA-VAN,seibetsu_code,性別コード,馬の性別,character varying,1,1:牡 2:牝 3:騸,
JVD_UM,JRA-VAN,seibetsu_code,性別コード,馬の性別,character varying,1,1:牡 2:牝 3:騸,
JRD_BAC,JRDB,kyori,距離,コースの競走距離,character varying,4,単位:m 例:1600,
JRD_SED,JRDB,kyori,距離,コースの競走距離,character varying,4,単位:m 例:1600,
JVD_CC,JRA-VAN,kyori,距離,コースの競走距離,character varying,4,単位:m 例:1600,
JVD_CS,JRA-VAN,kyori,距離,コースの競走距離,character varying,4,単位:m 例:1600,
JVD_RA,JRA-VAN,kyori,距離,コースの競走距離,character varying,4,単位:m 例:1600,
JVD_RC,JRA-VAN,kyori,距離,コースの競走距離,character varying,4,単位:m 例:1600,
JVD_TK,JRA-VAN,kyori,距離,コースの競走距離,character varying,4,単位:m 例:1600,
JRD_BAC,JRDB,track_code,トラックコード,芝・ダート・内外・向きの組み合わせ,character varying,3,10:芝右 11:芝右外 15:芝左 16:芝左外 17:芝直線 20:ダート右 21:ダート右外 25:ダート左 26:ダート左外 51:障害(芝),
JRD_SED,JRDB,track_code,トラックコード,芝・ダート・内外・向きの組み合わせ,character varying,3,10:芝右 11:芝右外 15:芝左 16:芝左外 17:芝直線 20:ダート右 21:ダート右外 25:ダート左 26:ダート左外 51:障害(芝),
JVD_CC,JRA-VAN,track_code,トラックコード,芝・ダート・内外・向きの組み合わせ,character varying,2,10:芝右 11:芝右外 15:芝左 16:芝左外 17:芝直線 20:ダート右 21:ダート右外 25:ダート左 26:ダート左外 51:障害(芝),
JVD_CS,JRA-VAN,track_code,トラックコード,芝・ダート・内外・向きの組み合わせ,character varying,2,10:芝右 11:芝右外 15:芝左 16:芝左外 17:芝直線 20:ダート右 21:ダート右外 25:ダート左 26:ダート左外 51:障害(芝),
JVD_RA,JRA-VAN,track_code,トラックコード,芝・ダート・内外・向きの組み合わせ,character varying,2,10:芝右 11:芝右外 15:芝左 16:芝左外 17:芝直線 20:ダート右 21:ダート右外 25:ダート左 26:ダート左外 51:障害(芝),
JVD_RC,JRA-VAN,track_code,トラックコード,芝・ダート・内外・向きの組み合わせ,character varying,2,10:芝右 11:芝右外 15:芝左 16:芝左外 17:芝直線 20:ダート右 21:ダート右外 25:ダート左 26:ダート左外 51:障害(芝),
JVD_TK,JRA-VAN,track_code,トラックコード,芝・ダート・内外・向きの組み合わせ,character varying,2,10:芝右 11:芝右外 15:芝左 16:芝左外 17:芝直線 20:ダート右 21:ダート右外 25:ダート左 26:ダート左外 51:障害(芝),
JRD_SED,JRDB,tenko_code,天候コード,レース当日の天候,character varying,1,1:晴 2:曇 3:雨 4:小雨 5:雪 6:小雪,
JVD_RA,JRA-VAN,tenko_code,天候コード,レース当日の天候,character varying,1,1:晴 2:曇 3:雨 4:小雨 5:雪 6:小雪,
JVD_RC,JRA-VAN,tenko_code,天候コード,レース当日の天候,character varying,1,1:晴 2:曇 3:雨 4:小雨 5:雪 6:小雪,
JVD_WE,JRA-VAN,tenko_code,天候コード,レース当日の天候,character varying,1,1:晴 2:曇 3:雨 4:小雨 5:雪 6:小雪,
JVD_RA,JRA-VAN,babajotai_code_shiba,babajotai_code_shiba,babajotai_code_shibaフィールド,character varying,1,,
JVD_RC,JRA-VAN,babajotai_code_shiba,babajotai_code_shiba,babajotai_code_shibaフィールド,character varying,1,,
JVD_WE,JRA-VAN,babajotai_code_shiba,babajotai_code_shiba,babajotai_code_shibaフィールド,character varying,1,,
JVD_RA,JRA-VAN,babajotai_code_dirt,babajotai_code_dirt,babajotai_code_dirtフィールド,character varying,1,,
JVD_RC,JRA-VAN,babajotai_code_dirt,babajotai_code_dirt,babajotai_code_dirtフィールド,character varying,1,,
JVD_WE,JRA-VAN,babajotai_code_dirt,babajotai_code_dirt,babajotai_code_dirtフィールド,character varying,1,,
JRD_BAC,JRDB,hasso_jikoku,発走時刻,レースの発走時刻,character varying,4,HHmm形式 例:1540=15:40,
JRD_SED,JRDB,hasso_jikoku,発走時刻,レースの発走時刻,character varying,4,HHmm形式 例:1540=15:40,
JVD_RA,JRA-VAN,hasso_jikoku,発走時刻,レースの発走時刻,character varying,4,HHmm形式 例:1540=15:40,
JVD_TC,JRA-VAN,hasso_jikoku,発走時刻,レースの発走時刻,character varying,4,HHmm形式 例:1540=15:40,
JRD_BAC,JRDB,grade_code,グレードコード,レースのグレード・格付け,character varying,1,1:GⅠ 2:GⅡ 3:GⅢ 4:重賞(地) 5:OP 6:Listed A:GⅠ(海外) B:GⅡ(海外) C:GⅢ(海外),
JRD_SED,JRDB,grade_code,グレードコード,レースのグレード・格付け,character varying,1,1:GⅠ 2:GⅡ 3:GⅢ 4:重賞(地) 5:OP 6:Listed A:GⅠ(海外) B:GⅡ(海外) C:GⅢ(海外),
JVD_RA,JRA-VAN,grade_code,グレードコード,レースのグレード・格付け,character varying,1,1:GⅠ 2:GⅡ 3:GⅢ 4:重賞(地) 5:OP 6:Listed A:GⅠ(海外) B:GⅡ(海外) C:GⅢ(海外),
JVD_RC,JRA-VAN,grade_code,グレードコード,レースのグレード・格付け,character varying,1,1:GⅠ 2:GⅡ 3:GⅢ 4:重賞(地) 5:OP 6:Listed A:GⅠ(海外) B:GⅡ(海外) C:GⅢ(海外),
JVD_TK,JRA-VAN,grade_code,グレードコード,レースのグレード・格付け,character varying,1,1:GⅠ 2:GⅡ 3:GⅢ 4:重賞(地) 5:OP 6:Listed A:GⅠ(海外) B:GⅡ(海外) C:GⅢ(海外),
JVD_H1,JRA-VAN,shusso_tosu,出走頭数,実際に出走した頭数,character varying,2,,
JVD_H6,JRA-VAN,shusso_tosu,出走頭数,実際に出走した頭数,character varying,2,,
JVD_HR,JRA-VAN,shusso_tosu,出走頭数,実際に出走した頭数,character varying,2,,
JVD_O1,JRA-VAN,shusso_tosu,出走頭数,実際に出走した頭数,character varying,2,,
JVD_O2,JRA-VAN,shusso_tosu,出走頭数,実際に出走した頭数,character varying,2,,
JVD_O3,JRA-VAN,shusso_tosu,出走頭数,実際に出走した頭数,character varying,2,,
JVD_O4,JRA-VAN,shusso_tosu,出走頭数,実際に出走した頭数,character varying,2,,
JVD_O5,JRA-VAN,shusso_tosu,出走頭数,実際に出走した頭数,character varying,2,,
JVD_O6,JRA-VAN,shusso_tosu,出走頭数,実際に出走した頭数,character varying,2,,
JVD_RA,JRA-VAN,shusso_tosu,出走頭数,実際に出走した頭数,character varying,2,,
JVD_SE,JRA-VAN,barei,馬齢,競走時の馬の年齢,character varying,2,単位:歳,
JVD_KS,JRA-VAN,kishumei_ryakusho,kishumei_ryakusho,kishumei_ryakushoフィールド,character varying,8,,
